Entity,Code,Year,Polio Case Rate,Polio Death Rate
United States,USA,1950,21.1009179,1.206490921
United States,USA,1951,17.73849266,0.96922434
United States,USA,1952,35.61122882,1.935025046
United States,USA,1953,21.53696853,0.877405157
United States,USA,1954,22.88162609,0.813547783
United States,USA,1955,16.93521006,0.609398796
United States,USA,1956,8.690567161,0.324891745
United States,USA,1957,3.09379644,0.124654332
United States,USA,1958,3.208701853,0.141389143
United States,USA,1959,4.594459369,0.247582736
United States,USA,1960,1.712051093,0.12343942
United States,USA,1961,0.693472937,0.047570552
United States,USA,1962,0.47407197,0.031257493
United States,USA,1963,0.230738269,0.021069641
United States,USA,1964,0.061899231,0.008625303
United States,USA,1965,0.036098819,0.00802196
United States,USA,1966,0.065953529,0.004463021
United States,USA,1967,0.020125877,0.007854001
United States,USA,1968,0.025769123,0.011669037
United States,USA,1969,0.009635124,0.006262831
United States,USA,1970,0.015754507,0.003341865
United States,USA,1971,0.009935865,0.008516456
United States,USA,1972,0.014536905,0.000937865
United States,USA,1973,0.003718083,0.004647604
United States,USA,1974,0.003224119,0.001381765
United States,USA,1975,0.003651161,0.004107557
United States,USA,1976,0.006330219,0.007234536
United States,USA,1977,0.008061812,0.007166055
United States,USA,1978,0.006653773,0.005766603
United States,USA,1979,0.014936898,0.001757282
United States,USA,1980,0.003916023,0.002610682
United States,USA,1981,0.002585816,0
United States,USA,1982,0.003414991,0
United States,USA,1983,0.006342208,0.001268442
United States,USA,1984,0.003350164,0
United States,USA,1985,0.002903122,0
United States,USA,1986,0.003285478,0
United States,USA,1987,0.002439808,0
United States,USA,1988,0.003623457,0.000402606
United States,USA,1989,0.001993161,0
United States,USA,1990,0.002763095,0
United States,USA,1991,0.003127354,0.000390919
United States,USA,1992,0.001548731,0
United States,USA,1993,0.001533723,0
United States,USA,1994,0.003036411,0
United States,USA,1995,0.002252897,0
United States,USA,1996,0.00185602,0
United States,USA,1997,0.001833898,0
United States,USA,1998,0.000362337,0
United States,USA,1999,0.000716076,0
United States,USA,2000,0,0
United States,USA,2001,0,
United States,USA,2002,0,0
United States,USA,2003,0,0
United States,USA,2004,0,0
United States,USA,2005,0,0
United States,USA,2006,0,0
United States,USA,2007,0,0
United States,USA,2008,0,0
United States,USA,2009,0.000326716,
United States,USA,2010,0,
United States,USA,2011,0,0
United States,USA,2012,0,0
United States,USA,2013,0,0
United States,USA,2014,0,0
